# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	211804
#@/user_id	linux
a 	啊	c=456 d=1.87061 t=211804
bao liu zhan 	保留站	c=5 d=1.58171e-64 t=211804
bao lu 	暴露	c=11 d=0.000229397 t=211804
bao lu chu 	暴露出	c=2 d=0.353455 t=211804
bao lu chu le 	暴露出了	c=2 d=5.76413e-10 t=211804
bao luan 	暴亂	c=12 d=1.52078e-09 t=211804
bao luan fa zhan 	暴亂發展	c=1 d=1.22644e-19 t=211804
bao luan ren yuan 	暴亂人員	c=1 d=4.86323e-20 t=211804
bao lun 	暴論	c=2 d=1.99005 t=201384
bao mi 	保密	c=4 d=0.00895987 t=211804
bao min 	暴民	c=1 d=1.16401e-22 t=211804
bao ming 	包名	c=1 d=0.759572 t=211804
bao ming 	報名	c=49 d=1.98636 t=211804
bao ming biao 	報名表	c=7 d=2.83944e-13 t=211804
bao nu 	暴怒	c=1 d=7.50584e-08 t=211804
bao po yin 	爆破音	c=1 d=2.44268e-07 t=211804
bao qian 	抱歉	c=9 d=0.831104 t=211804
bao qin 	抱琴	c=2 d=1.99005 t=203697
bao quan 	保全	c=3 d=0.000136037 t=211804
bao rong 	包容	c=2 d=1.70577e-39 t=211804
bao shang qu 	報上去	c=3 d=1.06531e-09 t=211804
bao shi 	寶石	c=1 d=1.02511e-27 t=211804
bao shi de 	寶石的	c=1 d=2.63957e-66 t=211804
bao shi gong 	寶石工	c=1 d=2.62641e-66 t=211804
bao shou 	保守	c=7 d=0.00522135 t=211804
bao shou dang 	保守黨	c=1 d=1 t=182582
bao shou zhu yi 	保守主義	c=1 d=1 t=200045
bao wei chu 	保衛處	c=4 d=7.55165e-21 t=211804
bao wen 	報文	c=6 d=1.74349e-11 t=211804
bao wen chuan shu 	報文傳輸	c=2 d=8.58535e-50 t=211804
bao wen tou 	報文頭	c=1 d=1.58953e-11 t=211804
bao xi bu bao you 	報喜不報憂	c=1 d=5.7189e-15 t=211804
bao xian 	保險	c=2 d=4.48627e-12 t=211804
bao xian fei 	保險費	c=1 d=1 t=206586
bao xiao 	報效	c=1 d=1 t=187196
bao xiao 	報銷	c=37 d=0.83895 t=211804
bao xiao e du 	報銷額度	c=1 d=6.26067e-21 t=211804
bao xing 	保形	c=1 d=3.36252e-61 t=211804
bao xing 	暴行	c=4 d=7.43115e-08 t=211804
bao yan 	保研	c=12 d=0.0221482 t=211804
bao yan de 	保研的	c=1 d=1.31922e-24 t=211804
bao yang 	保養	c=1 d=7.1422e-12 t=211804
bao yi 	抱以	c=2 d=1.12088e-19 t=211804
bao you 	保有	c=1 d=0.0550232 t=211804
bao you 	抱有	c=1 d=3.06736e-39 t=211804
bao yu 	寶玉	c=0 d=3.10631e-12 t=211804
bao yu shi 	寶玉石	c=1 d=3.12188e-11 t=211804
bao yuan 	抱怨	c=4 d=1.71301e-34 t=211804
bao yue 	包月	c=6 d=2.1246e-42 t=211804
bao zang 	寶藏	c=1 d=1 t=174476
bao zao 	暴躁	c=2 d=0.000457378 t=211804
bao zha 	爆炸	c=4 d=0.0130029 t=211804
bao zha xing 	爆炸性	c=1 d=1 t=189556
bao zhang 	保障	c=5 d=1.55002e-09 t=211804
bao zhang 	報賬	c=1 d=5.5739e-07 t=211804
bao zhe 	抱着	c=3 d=1 t=208990
bao zheng 	保證	c=59 d=0.501576 t=211804
bao zheng le 	保證了	c=1 d=6.93303e-74 t=211804
bao zhi 	報紙	c=1 d=2.08903e-20 t=211804
bao zhu 	爆竹	c=1 d=6.81262e-15 t=211804
bao zhuang 	包裝	c=13 d=0.0361528 t=211804
bao zhuang he 	包裝盒	c=1 d=7.67467e-05 t=211804
bao zhuang wan hao 	包裝完好	c=2 d=1.99501 t=164336
bao zu se 	包阻塞	c=1 d=5.94583e-61 t=211804
bei 	倍	c=6 d=4.99244e-05 t=211804
bei 	備	c=3 d=9.64753e-20 t=211804
bei 	北	c=2 d=0.00184551 t=211804
bei 	唄	c=28 d=0.410804 t=211804
bei 	悲	c=1 d=1 t=191383
bei 	盃	c=11 d=0.00112143 t=211804
bei 	背	c=2 d=0.00109172 t=211804
bei 	被	c=357 d=1.69367 t=211804
bei 	輩	c=2 d=1.58623e-20 t=211804
bei ai 	悲哀	c=1 d=0.606531 t=211804
bei an 	備案	c=14 d=1.27182e-09 t=211804
bei an hao 	備案號	c=5 d=1.69042e-39 t=211804
bei bao 	背包	c=6 d=1.41036e-37 t=211804
bei bi 	卑鄙	c=1 d=1 t=182067
bei bian yuan hua 	被邊緣化	c=1 d=1.23704e-32 t=211804
bei bo duo 	被剝奪	c=1 d=4.33021e-66 t=211804
bei bu 	被捕	c=1 d=1 t=190228
bei can 	悲慘	c=2 d=0.178173 t=211804
bei cheng wei 	被稱爲	c=3 d=0.00313978 t=211804
bei cheng zuo 	被稱作	c=2 d=0.00117675 t=211804
bei chi le 	被吃了	c=1 d=8.86288e-22 t=211804
bei chu shu 	被除數	c=1 d=0.000171659 t=211804
bei ci 	背刺	c=1 d=3.16142e-12 t=211804
bei cun zai 	被存在	c=1 d=0.000291637 t=211804
bei da 	北大	c=3 d=6.33241e-08 t=211804
bei dai he 	北戴河	c=1 d=1 t=172879
bei dan ci 	背單詞	c=4 d=1.13666e-07 t=211804
bei de 	倍的	c=1 d=1.4595e-07 t=211804
bei dong 	被動	c=4 d=2.37578e-07 t=211804
bei dong tai 	被動態	c=1 d=1 t=189040
bei fa xian 	被發現	c=1 d=7.77584e-12 t=211804
bei fan yi 	被翻譯	c=1 d=1 t=209744
bei fang 	北方	c=1 d=1 t=199132
bei fang wen 	被訪問	c=1 d=1.22344e-49 t=211804
bei fen 	備份	c=3 d=0.000480828 t=211804
bei fen wei 	被分爲	c=1 d=0.00157264 t=211804
bei fu lu 	被俘虜	c=1 d=1.03306e-59 t=211804
bei gao 	被告	c=1 d=1 t=198803
bei gao zhi 	被告知	c=1 d=8.72025e-37 t=211804
bei gong qu jie 	卑躬屈節	c=1 d=1 t=189625
bei gong qu xi 	卑躬屈膝	c=1 d=1.19198e-66 t=211804
bei guan 	北館	c=1 d=1.81168e-50 t=211804
bei gui 	北歸	c=0 d=0.1 t=164652
bei guo 	背鍋	c=1 d=2.53745e-43 t=211804
bei guo xie 	被裹挾	c=1 d=1 t=158266
bei hai 	北海	c=1 d=0.000359786 t=211804
bei hou 	背後	c=11 d=0.175662 t=211804
bei hua fen 	被劃分	c=1 d=1 t=208036
bei huan li he 	悲歡離合	c=1 d=0.000476044 t=211804
bei jia 	倍加	c=1 d=2.01643e-45 t=211804
bei jian 	卑賤	c=3 d=1 t=182064
bei jian hua 	被簡化	c=1 d=1.54486e-58 t=211804
bei jin 	被禁	c=1 d=1.35635e-27 t=211804
bei jin zhi 	被禁止	c=1 d=2.54099e-30 t=211804
bei jing 	北京	c=36 d=0.00429855 t=211804
bei jing 	背景	c=27 d=0.158063 t=211804
bei jing ban 	背景版	c=1 d=4.16565e-22 t=211804
bei jing da xue 	北京大學	c=2 d=6.73017e-46 t=211804
bei jing hua 	背景化	c=1 d=2.44177e-32 t=211804
bei jing shi 	北京市	c=5 d=0.109154 t=211804
bei ju 	悲劇	c=5 d=0.514768 t=211804
bei ju gan 	悲劇感	c=1 d=0.543351 t=211804
bei ju jue 	被拒絕	c=1 d=0.0368832 t=211804
bei kan zuo 	被看作	c=1 d=1 t=201752
bei kong zhi 	被控制	c=1 d=1.92246e-13 t=211804
bei li yong 	被利用	c=1 d=2.81205e-46 t=211804
bei lou 	北樓	c=1 d=1 t=185152
bei lun 	悖論	c=1 d=6.75769e-08 t=211804
bei ni 	被你	c=1 d=4.0273e-07 t=211804
bei ni fa xian le 	被你發現了	c=1 d=3.20473e-25 t=211804
bei ni men 	被你們	c=1 d=6.83607e-26 t=211804
bei nu yi 	被奴役	c=1 d=5.6813e-55 t=211804
bei pan 	背叛	c=5 d=1.13686e-09 t=211804
bei ping 	北平	c=6 d=1.20334 t=185481
bei po 	被迫	c=1 d=3.37363e-41 t=211804
bei qiao 	北橋	c=1 d=3.6576e-80 t=211804
bei qiu 	悲秋	c=2 d=0.491644 t=211804
bei ren 	被人	c=3 d=1.21213e-28 t=211804
bei ren wei 	被認爲	c=1 d=6.50488e-30 t=211804
bei shan chu 	被刪除	c=1 d=1 t=188574
bei shi wei 	被視爲	c=0 d=9.46969e-08 t=211804
bei shou 	備受	c=0 d=0.1 t=184778
bei shou da ji 	備受打擊	c=1 d=1 t=184779
bei shu 	倍數	c=1 d=8.23115e-05 t=211804
bei si 	悲絲	c=3 d=1 t=198825
bei song 	背誦	c=1 d=1 t=188002
bei suan dao 	被算到	c=1 d=1.20404e-08 t=211804
bei tan 	悲嘆	c=1 d=0.00882647 t=211804
bei ti 	被踢	c=1 d=0.00516939 t=211804
bei tiao zhan zhe 	被挑戰者	c=2 d=0.890114 t=211804
bei wang lu 	備忘錄	c=1 d=1 t=191041
bei wen 	碑文	c=1 d=2.70639e-66 t=211804
bei wo 	被我	c=1 d=1.39913e-10 t=211804
bei xi 	悲喜	c=2 d=1.32904e-27 t=211804
bei xin 	背心	c=5 d=0.145659 t=211804
bei xuan ze 	被選擇	c=1 d=1.27584e-13 t=211804
bei ya 	背壓	c=1 d=6.50578e-61 t=211804
bei yan chi 	被延遲	c=1 d=4.43936e-06 t=211804
bei yan zhong 	被嚴重	c=1 d=7.17167e-31 t=211804
bei yang 	北洋	c=1 d=1.23532e-45 t=211804
bei ye 	貝葉	c=0 d=1.30135e-41 t=211804
bei ye si 	貝葉斯	c=1 d=1.30788e-40 t=211804
bei yi qi 	被遺棄	c=0 d=0.00335406 t=211804
bei yi qi zai 	被遺棄在	c=1 d=0.0337087 t=211804
bei ying xiang zhe 	被影響者	c=2 d=1.91851 t=165507
bei yong 	備用	c=2 d=0.0366992 t=211804
bei yong 	被用	c=0 d=0.0559898 t=211804
bei yong lai 	被用來	c=4 d=2.16381e-22 t=211804
bei yong yu 	被用於	c=1 d=5.77146e-05 t=211804
bei yong zai 	被用在	c=1 d=0.562705 t=211804
bei yu 	北域	c=1 d=1.17695e-05 t=211804
bei yu wei 	被譽爲	c=1 d=3.10578e-09 t=211804
bei zhe 	背着	c=1 d=1.52481e-22 t=211804
bei zheng ming 	被證明	c=1 d=1 t=206458
bei zhi 	備至	c=1 d=1 t=199846
bei zhong lu 	杯中淥	c=1 d=1.13624e-32 t=211804
bei zhu 	備註	c=6 d=4.69021e-35 t=211804
bei zi 	被子	c=2 d=0.0001076 t=211804
bei zu 	被阻	c=1 d=1.2625e-07 t=211804
bei zu se 	被阻塞	c=1 d=1.03883e-07 t=211804
ben 	本	c=23 d=0.494109 t=211804
ben a li 	本阿里	c=1 d=8.03834e-79 t=211804
ben cao 	本草	c=1 d=2.70004e-09 t=211804
ben ci 	本次	c=35 d=4.89442e-08 t=211804
ben ci huo dong 	本次活動	c=3 d=4.91895e-07 t=211804
ben di 	本地	c=14 d=0.0257453 t=211804
ben di liang 	本地量	c=3 d=2.60356e-08 t=211804
ben e 	本惡	c=5 d=0.00134011 t=211804
ben fu 	奔赴	c=1 d=1.52876e-23 t=211804
ben gai 	本該	c=1 d=7.2103e-06 t=211804
ben hang 	本行	c=1 d=0.000555857 t=211804
ben huan jie 	本環節	c=1 d=1 t=175821
ben ji 	本機	c=2 d=2.19698e-17 t=211804
ben jiu 	本就	c=1 d=1 t=187708
ben jiu shi 	本就是	c=2 d=3.22079e-25 t=211804
ben ke 	本科	c=2 d=2.79232e-22 t=211804
ben ke cheng 	本課程	c=2 d=0.0380064 t=211804
ben ke jie duan 	本科階段	c=1 d=1.64833e-56 t=211804
ben ke sheng 	本科生	c=11 d=4.24402e-06 t=211804
ben lai 	本來	c=40 d=0.162885 t=211804
ben lai jiu shi 	本來就是	c=1 d=1 t=169777
ben lai xiang zhe 	本來想着	c=1 d=9.33029e-09 t=211804
ben min zu 	本民族	c=1 d=1.15561e-25 t=211804
ben neng 	本能	c=2 d=1 t=210281
ben ren 	本人	c=19 d=0.261846 t=211804
ben se 	本色	c=0 d=4.47926e-24 t=211804
ben shan 	本善	c=1 d=0.00138093 t=211804
ben shen 	本身	c=140 d=1.42462 t=211804
ben shi yan 	本實驗	c=6 d=0.105928 t=211804
ben shu 	本書	c=9 d=6.10921e-27 t=211804
ben teng 	奔騰	c=1 d=1 t=210635
ben ti 	本題	c=2 d=0.265803 t=211804
ben ti 	本體	c=2 d=0.00290884 t=211804
ben ti mu 	本題目	c=1 d=1 t=175920
ben tu 	本土	c=1 d=1 t=196025
ben wang zhan 	本網站	c=3 d=1.03448e-16 t=211804
ben wei 	本位	c=2 d=5.49185e-09 t=211804
ben wen 	本文	c=9 d=0.369054 t=211804
ben wu 	本無	c=2 d=0.198891 t=211804
ben xiang mu 	本項目	c=1 d=1.10841e-05 t=211804
ben xiao 	本校	c=2 d=0.0443785 t=211804
ben xiao hai 	笨小孩	c=1 d=1 t=193259
ben xing 	本性	c=1 d=2.03226e-05 t=211804
ben xing qi dian 	本性奇點	c=1 d=1.87372e-05 t=211804
ben xue qi 	本學期	c=13 d=2.94058e-13 t=211804
ben yan 	本研	c=1 d=1.75121e-33 t=211804
ben yi 	本意	c=3 d=0.392079 t=211804
ben yi wei 	本以爲	c=1 d=1 t=171255
ben ying 	本應	c=1 d=2.55511e-07 t=211804
ben zhan 	本站	c=6 d=2.62583 t=211804
ben zhe 	本着	c=2 d=8.1956e-31 t=211804
ben zhi 	本職	c=1 d=0.0066709 t=211804
ben zhi 	本質	c=25 d=0.31557 t=211804
ben zhi lun 	本質論	c=1 d=1.05982e-07 t=211804
ben zhi shang 	本質上	c=14 d=0.00683978 t=211804
ben zhong 	笨重	c=1 d=3.0416e-28 t=211804
ben zhou 	本週	c=5 d=1.46596e-46 t=211804
ben zhou ri 	本週日	c=1 d=1 t=173580
ben zhuo 	笨拙	c=2 d=6.90956e-55 t=211804
beng 	泵	c=0 d=4.79883e-70 t=211804
beng kui 	崩潰	c=4 d=0.107615 t=211804
beng ta 	崩塌	c=1 d=1 t=183282
beng yin li 	泵引理	c=8 d=2.00951e-34 t=211804
bi 	屄	c=1 d=1.78786e-12 t=211804
bi 	幣	c=0 d=1.16865e-11 t=211804
bi 	弊	c=0 d=0.1 t=197332
bi 	必	c=2 d=5.39411e-33 t=211804
bi 	斃	c=5 d=5.32373e-13 t=211804
bi 	比	c=78 d=0.865083 t=211804
bi 	筆	c=4 d=2.67081e-28 t=211804
bi 	臂	c=0 d=0.00724398 t=211804
bi an 	彼岸	c=2 d=1.96079 t=201972
bi bao 	閉包	c=1 d=3.17781e-14 t=211804
bi bei 	必備	c=1 d=0.102797 t=211804
bi bi jie shi 	比比皆是	c=1 d=6.71233e-17 t=211804
bi bing 	弊病	c=3 d=4.2949e-08 t=211804
bi bu guo 	比不過	c=2 d=1.99501 t=154461
bi bu ke shao 	必不可少	c=2 d=1.04984e-11 t=211804
bi bu liao 	比不了	c=2 d=5.07048e-11 t=211804
bi bu shang 	比不上	c=3 d=0.00115345 t=211804
bi cheng 	必稱	c=1 d=1 t=158569
bi ci 	彼此	c=1 d=1 t=205083
bi da 	必答	c=5 d=1 t=168626
bi da ti 	必答題	c=5 d=1.00002 t=174214
bi da yu li 	弊大於利	c=2 d=1.93239 t=197347
bi ding 	必定	c=2 d=1.98396e-58 t=211804
bi duan 	弊端	c=5 d=0.00644146 t=211804
bi dui 	比對	c=2 d=1.90359e-44 t=211804
bi fa 	筆法	c=1 d=4.84144e-26 t=211804
bi fen 	比分	c=6 d=1.83313 t=176179
bi guan 	閉關	c=1 d=7.48901e-11 t=211804
bi guan 	閉館	c=1 d=7.39259e-36 t=211804
bi guan hou 	閉館後	c=1 d=7.42965e-35 t=211804
bi han 	避寒	c=2 d=6.62817e-45 t=211804
bi he 	閉合	c=0 d=7.17556e-09 t=211804
bi hua 	鼻化	c=1 d=1 t=165542
bi huan 	閉環	c=11 d=0.585669 t=211804
bi huan kong zhi 	閉環控制	c=1 d=1.77375e-07 t=211804
bi huan xi tong 	閉環系統	c=9 d=1.62605e-13 t=211804
bi hui 	必會	c=1 d=1 t=173516
bi huo 	避火	c=1 d=6.16431e-15 t=211804
bi huo 	避禍	c=1 d=0.000930303 t=211804
bi i jiao 	比i交	c=1 d=1 t=206164
bi ji 	筆記	c=23 d=0.980199 t=211804
bi ji 	筆跡	c=1 d=1 t=209547
bi ji ben 	筆記本	c=3 d=1.11809e-33 t=211804
bi jia 	比價	c=1 d=1 t=189655
bi jian 	比肩	c=2 d=0.000829241 t=211804
bi jiao 	比較	c=299 d=2.11608 t=211804
bi jiao ci shu 	比較次數	c=1 d=0.19593 t=211804
bi jiao da 	比較大	c=3 d=2.08726e-10 t=211804
bi jiao di 	比較低	c=1 d=4.96131e-49 t=211804
bi jiao dian 	比較點	c=4 d=0.56836 t=211804
bi jiao dui 	比較對	c=1 d=2.22275e-44 t=211804
bi jiao duo 	比較多	c=4 d=0.0501382 t=211804
bi jiao gan 	比較趕	c=2 d=5.1447e-37 t=211804
bi jiao gan xing 	比較感性	c=1 d=1.69853e-56 t=211804
bi jiao gao 	比較高	c=1 d=6.40368e-22 t=211804
bi jiao hao 	比較好	c=13 d=0.235746 t=211804
bi jiao ji 	比較級	c=1 d=1 t=189048
bi jiao jian dan 	比較簡單	c=1 d=1 t=162629
bi jiao kun nan 	比較困難	c=1 d=1.46782e-15 t=211804
bi jiao mang 	比較忙	c=1 d=1.76906e-64 t=211804
bi jiao qi 	比較器	c=1 d=2.04162e-44 t=211804
bi jiao qing 	比較輕	c=1 d=2.32308e-34 t=211804
bi jiao shu 	比較熟	c=2 d=1.60327e-24 t=211804
bi jiao xi huan 	比較喜歡	c=0 d=4.06695e-35 t=211804
bi jiao you 	比較有	c=1 d=1 t=162214
bi jin 	逼近	c=16 d=0.000498244 t=211804
bi jing 	畢竟	c=66 d=0.682184 t=211804
bi jing shi 	畢竟是	c=1 d=4.16835e-59 t=211804
bi jing zhi lu 	必經之路	c=1 d=3.85009e-07 t=211804
bi kan 	壁龕	c=1 d=1 t=180816
bi kong 	鼻孔	c=1 d=1 t=193557
bi le 	斃了	c=3 d=1 t=168378
bi lei 	壁壘	c=1 d=2.85756e-29 t=211804
bi li 	比例	c=10 d=0.115962 t=211804
bi li guan xi 	比例關係	c=1 d=5.89006e-09 t=211804
bi li shi heng 	比例失衡	c=1 d=6.77518e-09 t=211804
bi liang wei chang 	逼良爲娼	c=1 d=1 t=190243
bi lv 	比率	c=0 d=0.00724398 t=211804
bi lv bi 	比率臂	c=6 d=1.96895 t=211804
bi mian 	避免	c=31 d=0.04573 t=211804
bi mian le 	避免了	c=1 d=0.394554 t=211804
bi ming 	筆名	c=2 d=1 t=195357
bi mo 	筆墨	c=1 d=9.42245e-07 t=211804
bi mu 	閉幕	c=1 d=0.000227127 t=211804
bi mu 	閉目	c=1 d=0.000228266 t=211804
bi nan 	避難	c=1 d=1 t=184954
bi nan suo 	避難所	c=1 d=1 t=208829
bi ni 	比你	c=1 d=1 t=184681
bi pin 	比拼	c=2 d=1.98511 t=159029
bi po 	逼迫	c=3 d=1 t=207517
bi qi 	比起	c=4 d=0.147342 t=211804
bi qi 	荸薺	c=2 d=1.78663 t=187929
bi qi lai 	比起來	c=1 d=0.329559 t=211804
bi qiang 	鼻腔	c=2 d=1.26462e-07 t=211804
bi ran 	必然	c=48 d=0.0242347 t=211804
bi ran hui 	必然會	c=1 d=7.4773e-22 t=211804
bi ran shi 	必然是	c=1 d=2.47404e-10 t=211804
bi ru 	比如	c=157 d=0.710737 t=211804
bi ru shuo 	比如說	c=7 d=0.644036 t=211804
bi sai 	比賽	c=51 d=0.0894176 t=211804
bi sai ba 	比賽吧	c=1 d=1 t=170727
bi se 	鼻塞	c=0 d=0.1 t=154141
bi se yin 	鼻塞音	c=4 d=1 t=199236
bi she 	畢設	c=9 d=1.77306 t=207791
bi sheng 	必勝	c=1 d=3.06883e-74 t=211804
bi shi 	筆試	c=2 d=8.76425e-08 t=211804
bi shi 	避世	c=2 d=3.49272e-08 t=211804
bi shou 	匕首	c=1 d=4.06847e-10 t=211804
bi shou gu 	匕首谷	c=1 d=4.08886e-09 t=211804
bi te 	比特	c=1 d=1.16865e-11 t=211804
bi te bi 	比特幣	c=2 d=1.17451e-10 t=211804
bi wo 	比我	c=2 d=0.0505395 t=211804
bi wo men 	比我們	c=1 d=1 t=159843
bi xin 	筆芯	c=2 d=1 t=199100
bi xiu 	必修	c=2 d=2.77594e-41 t=211804
bi xu 	必需	c=14 d=1.37427e-05 t=211804
bi xu 	必須	c=98 d=0.179066 t=211804
bi xu pin 	必需品	c=2 d=2.7295e-19 t=211804
bi xu zai 	必須在	c=1 d=1.22498e-05 t=211804
bi xue jian 	碧血劍	c=1 d=1.2625e-07 t=211804
bi yao 	必要	c=24 d=0.529935 t=211804
bi yao de 	必要的	c=1 d=0.0968105 t=211804
bi yao lao dong 	必要勞動	c=1 d=4.25562e-09 t=211804
bi yao lao dong shi jian 	必要勞動時間	c=2 d=7.69768e-09 t=211804
bi yao shi 	必要時	c=2 d=1.00009 t=196749
bi ye 	畢業	c=14 d=0.00151098 t=211804
bi ye dian li 	畢業典禮	c=1 d=7.284e-08 t=211804
bi ye ge 	畢業歌	c=1 d=1 t=182701
bi ye ji 	畢業季	c=2 d=7.68958e-43 t=211804
bi ye lun wen 	畢業論文	c=2 d=2.28936e-48 t=211804
bi ye sheng 	畢業生	c=3 d=1.68983e-25 t=211804
bi yi 	裨益	c=2 d=5.63396e-50 t=211804
bi yi 	鄙夷	c=1 d=2.66247e-50 t=211804
bi yi qian 	比以前	c=2 d=1.51175e-09 t=211804
bi yi xia 	比一下	c=1 d=1 t=160140
bi yin 	鼻音	c=6 d=3.49556e-07 t=211804
bi you 	必有	c=2 d=3.09134e-13 t=211804
bi you zhi lu 	必由之路	c=1 d=9.23244e-32 t=211804
bi yu 	比喻	c=7 d=1 t=193548
bi yu 	碧玉	c=0 d=0.1 t=210824
bi yu dao 	碧玉刀	c=1 d=1 t=210825
bi yu yi 	比喻義	c=1 d=5.37727e-55 t=211804
bi yuan lai 	比原來	c=1 d=3.10146e-22 t=211804
bi yun 	鼻韻	c=1 d=0.1 t=199662
bi zhe 	筆者	c=28 d=0.0165231 t=211804
bi zheng 	必爭	c=1 d=1 t=154860
bi zhi 	比之	c=1 d=0.0833256 t=211804
bi zhi 	比值	c=6 d=6.3378e-18 t=211804
bi zhong 	比重	c=2 d=0.000916453 t=211804
bi zuo 	必做	c=1 d=1.54386e-22 t=211804
bi zuo 	比作	c=1 d=1 t=183345
bi zuo zhi shi 	必做之事	c=1 d=1.5516e-21 t=211804
bian 	便	c=33 d=0.321457 t=211804
bian 	編	c=4 d=3.48726e-19 t=211804
bian 	變	c=15 d=0.666977 t=211804
bian 	辨	c=1 d=3.10473e-05 t=211804
bian 	辮	c=0 d=0.1 t=183409
bian 	辯	c=1 d=3.08924e-05 t=211804
bian 	遍	c=6 d=0.00252883 t=211804
bian 	邊	c=36 d=0.508628 t=211804
bian bian jiao jiao 	邊邊角角	c=1 d=0.0186856 t=211804
bian bian zi 	編辮子	c=1 d=4.79067e-49 t=211804
bian bie 	辨別	c=2 d=8.69654e-05 t=211804
bian bu liao 	編不了	c=1 d=5.03629e-49 t=211804
bian cai 	編採	c=1 d=1 t=161643
bian chang 	變長	c=3 d=1.13647e-05 t=211804
bian cheng 	編程	c=48 d=0.579842 t=211804
bian cheng 	變成	c=16 d=0.00444934 t=211804
bian cheng 	辯稱	c=1 d=1 t=201436
bian cheng lang zi 	邊城浪子	c=7 d=0.318224 t=211804
bian cheng le 	變成了	c=6 d=0.00677172 t=211804
bian cheng yu yan 	編程語言	c=4 d=0.00129402 t=211804
bian chu lai 	編出來	c=1 d=0.279431 t=211804
bian da 	變大	c=4 d=2.13966e-37 t=211804
bian dao 	變到	c=3 d=7.21521e-14 t=211804
bian de 	變得	c=18 d=0.733447 t=211804
bian di 	貶低	c=3 d=7.18633e-55 t=211804
bian di 	遍地	c=1 d=0.00562801 t=211804
bian diao 	變調	c=1 d=1 t=165567
bian dong 	變動	c=3 d=1.21759e-22 t=211804
bian duo 	變多	c=1 d=4.10922e-39 t=211804
bian fang jun 	邊防軍	c=1 d=1 t=173014
bian fu 	蝙蝠	c=1 d=0.715338 t=211804
bian fu xia 	蝙蝠俠	c=1 d=1.62269e-48 t=211804
bian ge 	編個	c=0 d=1.57532e-24 t=211804
bian ge 	變革	c=4 d=5.98551e-10 t=211804
bian ge cheng 	編個程	c=1 d=1.58321e-23 t=211804
bian geng 	變更	c=1 d=2.17422e-49 t=211804
bian hao 	編號	c=23 d=0.0889861 t=211804
bian hu 	辯護	c=2 d=2.28966e-40 t=211804
bian hua 	變化	c=60 d=2.0863 t=211804
bian hua liang 	變化量	c=2 d=1.22815e-06 t=211804
bian huan 	變換	c=47 d=0.79761 t=211804
bian huan hou 	變換後	c=1 d=6.14068e-58 t=211804
bian huan rong qi 	變換容器	c=1 d=5.87585e-10 t=211804
bian hui 	便會	c=2 d=1.53429e-36 t=211804
bian ji 	編輯	c=18 d=8.93978e-06 t=211804
bian ji 	邊際	c=1 d=1.00132 t=159081
bian ji bu 	編輯部	c=6 d=2.74697 t=170187
bian ji chan chu 	邊際產出	c=1 d=1 t=158217
bian ji neng li 	編輯能力	c=1 d=3.35634e-10 t=211804
bian ji qi 	編輯器	c=5 d=0.882497 t=211804
bian ji wan cheng 	編輯完成	c=1 d=3.9571e-06 t=211804
bian ji xiao ying 	邊際效應	c=2 d=1.13068 t=159489
bian ji zu 	編輯組	c=4 d=2.24014e-07 t=211804
bian jiao 	邊角	c=1 d=1.32471e-14 t=211804
bian jie 	便捷	c=2 d=9.08135e-36 t=211804
bian jie 	辯解	c=0 d=0.1 t=198664
bian jie 	邊界	c=15 d=0.279431 t=211804
bian jie ci 	辯解詞	c=1 d=1 t=198665
bian jie ma qi 	編解碼器	c=1 d=9.99117e-20 t=211804
bian jie tiao jian 	邊界條件	c=2 d=0.00771183 t=211804
bian jing 	邊境	c=1 d=0.0658748 t=211804
bian ju 	編劇	c=5 d=0.299725 t=211804
bian ju 	變局	c=1 d=1.6124e-32 t=211804
bian lai bian qu 	變來變去	c=1 d=0.013912 t=211804
bian le 	編了	c=2 d=0.0415857 t=211804
bian le 	變了	c=0 d=1.74313e-09 t=211804
bian le hen duo 	變了很多	c=1 d=1.75186e-08 t=211804
bian li 	便利	c=4 d=1.79453 t=183804
bian li 	遍歷	c=48 d=0.408601 t=211804
bian li yi ci 	遍歷一次	c=1 d=1.85092e-08 t=211804
bian lian 	變臉	c=0 d=5.58738e-07 t=211804
bian liang 	變亮	c=2 d=0.000387808 t=211804
bian liang 	變量	c=166 d=0.437511 t=211804
bian liang ji 	變量集	c=1 d=4.11916e-37 t=211804
bian liang ti huan 	變量替換	c=1 d=1.76083e-68 t=211804
bian liang xing 	變量型	c=1 d=1.69536e-34 t=211804
bian lun 	辯論	c=1 d=1.75724e-44 t=211804
bian lv 	變率	c=2 d=0.000128823 t=211804
bian ma 	編碼	c=32 d=0.459396 t=211804
bian ma chang 	編碼長	c=3 d=4.15776e-54 t=211804
bian ma ren yuan 	編碼人員	c=3 d=4.46956e-36 t=211804
bian ma shu 	編碼樹	c=1 d=0.278037 t=211804
bian nian shi 	編年史	c=1 d=1 t=187982
bian pai 	編排	c=2 d=1.78425e-37 t=211804
bian pi 	鞭辟	c=0 d=4.32902e-05 t=211804
bian pi ru li 	鞭辟入裏	c=2 d=0.000435072 t=211804
bian ping hua 	扁平化	c=1 d=1 t=156011
bian qian 	變遷	c=13 d=1.60081e-06 t=211804
bian qian guan xi 	變遷關係	c=1 d=1 t=203206
