# Rime user dictionary
#@/db_name	hzl_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	36939
#@/user_id	linusboyle
a 	啊	c=48 d=1.87061 t=36939
bu bian 	不便	c=1 d=1 t=29143
bu bian 	不變	c=2 d=0.16231 t=36939
bu cha dian 	不插電	c=1 d=1 t=30974
bu chang 	不長	c=0 d=0.1 t=31757
bu chang 	步長	c=1 d=0.000147748 t=36939
bu chang ye bu duan 	不長也不短	c=1 d=1 t=31758
bu chao 	不超	c=1 d=2.18824e-07 t=36939
bu chao guo 	不超過	c=2 d=0.00117675 t=36939
bu cheng 	不成	c=0 d=1.38163e-10 t=36939
bu cheng huo 	不成活	c=1 d=1.38856e-09 t=36939
bu chong 	補充	c=4 d=0.163654 t=36939
bu chong le 	補充了	c=1 d=0.017953 t=36939
bu chou 	不醜	c=0 d=0.1 t=35523
bu chu 	不出	c=1 d=1.09501 t=35932
bu chu 	部處	c=2 d=1.9802 t=36756
bu chu wen ti 	不出問題	c=1 d=1 t=35933
bu cun zai 	不存在	c=4 d=0.00810722 t=36939
bu cuo 	不錯	c=6 d=0.89053 t=36939
bu da 	不大	c=1 d=3.75801e-07 t=36939
bu da 	不搭	c=2 d=0.04146 t=36939
bu dai xi 	布袋戲	c=37 d=1.05554 t=36939
bu dai xi mi 	布袋戲迷	c=2 d=2.11171e-07 t=36939
bu de bu 	不得不	c=2 d=0.0399551 t=36939
bu de bu shuo 	不得不說	c=1 d=0.25284 t=36939
bu deng shi 	不等式	c=1 d=1.88375e-09 t=36939
bu ding 	不定	c=1 d=2.21098e-11 t=36939
bu ding shi 	不定時	c=1 d=0.000218221 t=36939
bu dong 	不懂	c=1 d=1 t=33870
bu dong dian 	不動點	c=1 d=1.61355e-11 t=36939
bu duan 	不斷	c=8 d=0.579842 t=36939
bu duan 	不短	c=1 d=0.163654 t=36939
bu duan dian 	不斷電	c=1 d=1 t=29259
bu duo 	不多	c=3 d=0.00516939 t=36939
bu er qiao ya 	布爾喬亞	c=0 d=0.132109 t=36939
bu er zhi 	布爾值	c=1 d=0.524663 t=36939
bu fa sheng 	不發生	c=1 d=1 t=36929
bu fan hui 	不返回	c=1 d=1.42691e-06 t=36939
bu fang 	不妨	c=2 d=0.895856 t=36939
bu fang bian 	不方便	c=1 d=1.03918e-11 t=36939
bu fen 	不分	c=5 d=0.365159 t=36939
bu fen 	部分	c=41 d=0.827459 t=36939
bu feng mo 	不瘋魔	c=1 d=1.38163e-09 t=36939
bu gan 	不幹	c=0 d=0.1 t=29286
bu gan 	不敢	c=1 d=0.00124328 t=36939
bu gan xing qu 	不感興趣	c=1 d=6.41042e-06 t=36939
bu gao 	不高	c=2 d=0.0178634 t=36939
bu geng xin 	不更新	c=1 d=1 t=28565
bu gou 	不夠	c=6 d=0.0867279 t=36939
bu gou yan xiao 	不苟言笑	c=1 d=6.42702e-06 t=36939
bu guan 	不管	c=6 d=0.0383884 t=36939
bu guan shi 	不管是	c=3 d=6.71861e-09 t=36939
bu guan zen me 	不管怎麼	c=0 d=1.95085e-10 t=36939
bu guan zen me shuo ba 	不管怎麼說吧	c=1 d=1.96063e-09 t=36939
bu guan zhu 	不關注	c=1 d=1.57371e-11 t=36939
bu guo 	不過	c=70 d=1.36092 t=36939
bu guo ne 	不過呢	c=2 d=0.0258336 t=36939
bu guo shi 	不過是	c=2 d=0.00918669 t=36939
bu hao 	不好	c=0 d=8.68e-13 t=36939
bu hao kan 	不好看	c=2 d=1.7492e-11 t=36939
bu hao shuo 	不好說	c=1 d=1 t=30622
bu he li 	不合理	c=6 d=1.08236 t=36939
bu hu si 	陟岵寺	c=1 d=0.00166156 t=36939
bu hui 	不回	c=1 d=1.17108e-05 t=36939
bu hui 	不會	c=20 d=0.966864 t=36939
bu hui chu xian 	不會出現	c=0 d=5.0933e-06 t=36939
bu hui gei ren 	不會給人	c=1 d=0.429557 t=36939
bu huo 	捕獲	c=1 d=1 t=35464
bu jia 	不假	c=1 d=0.522046 t=36939
bu jian 	不見	c=1 d=2.71967e-06 t=36939
bu jian 	部件	c=1 d=1.07843e-06 t=36939
bu jiao 	補交	c=2 d=2.42032e-07 t=36939
bu jin 	不僅	c=4 d=0.0305009 t=36939
bu jin jin 	不僅僅	c=4 d=0.100063 t=36939
bu jin ren qing 	不近人情	c=1 d=4.56275e-05 t=36939
bu jing 	佈景	c=4 d=0.00153536 t=36939
bu jing yi jian 	不經意間	c=1 d=6.49271e-08 t=36939
bu ju 	佈局	c=4 d=0.0168949 t=36939
bu ju si 	佈局四	c=1 d=0.0015648 t=36939
bu jun yun 	不均勻	c=1 d=1.05744e-10 t=36939
bu kao lv 	不考慮	c=2 d=1.20089 t=36912
bu kao pu 	不靠譜	c=1 d=1 t=35519
bu ke 	不可	c=3 d=0.118837 t=36939
bu ke bi 	不可避	c=0 d=5.61539e-07 t=36939
bu ke cuan gai 	不可篡改	c=1 d=1.45623e-10 t=36939
bu ke hu shi 	不可忽視	c=1 d=1 t=33973
bu ke jian 	不可見	c=1 d=7.82971e-05 t=36939
bu ke ming zhuang 	不可名狀	c=1 d=0.00216573 t=36939
bu ke neng 	不可能	c=1 d=1.7042e-07 t=36939
bu ke qu 	不可取	c=1 d=0.57695 t=36939
bu ke yong 	不可用	c=1 d=1.46403e-14 t=36939
bu ken 	不肯	c=0 d=0.1 t=36115
bu le 	不了	c=1 d=1 t=28597
bu lei 	部類	c=3 d=1.68348e-08 t=36939
bu li 	不利	c=1 d=1 t=33841
bu li xiang 	不理想	c=0 d=0.1 t=29607
bu li yu 	不利於	c=2 d=0.144424 t=36939
bu liao 	不了	c=1 d=1.29759e-07 t=36939
bu liao jie 	不瞭解	c=2 d=0.0720785 t=36939
bu lu 	不露	c=1 d=0.105399 t=36939
bu ma 	補碼	c=4 d=0.000173384 t=36939
bu man 	不滿	c=1 d=1.77345e-05 t=36939
bu man zu 	不滿足	c=1 d=2.20985e-05 t=36939
bu men 	部門	c=2 d=1 t=36744
bu ming lang 	不明朗	c=1 d=0.913931 t=36939
bu ming suo yi 	不明所以	c=1 d=0.000271921 t=36939
bu na me 	不那麼	c=2 d=0.00279515 t=36939
bu nan 	不難	c=5 d=0.245367 t=36939
bu neng 	不能	c=33 d=0.509207 t=36939
bu neng can jia 	不能參加	c=1 d=1 t=31112
bu neng dai ti 	不能代替	c=1 d=1.80583e-12 t=36939
bu neng gai 	不能改	c=1 d=0.00123708 t=36939
bu neng sheng lve 	不能省略	c=1 d=5.71404e-05 t=36939
bu pai chu 	不排除	c=0 d=0.1 t=32897
bu po huai 	不破壞	c=1 d=0.146607 t=36939
bu qing bu yuan 	不情不願	c=1 d=0.650509 t=36939
bu qu 	不去	c=1 d=3.03591e-06 t=36939
bu que ding 	不確定	c=2 d=3.83088e-07 t=36939
bu ran 	不染	c=0 d=0.1 t=34676
bu ran 	不然	c=2 d=0.000531398 t=36939
bu ren 	不忍	c=0 d=4.49635e-10 t=36939
bu ren shi 	不認識	c=1 d=2.08222e-11 t=36939
bu ren tong 	不認同	c=1 d=1.41661e-09 t=36939
bu ren tu cao 	不忍吐槽	c=1 d=4.51889e-09 t=36939
bu ren wei 	不認爲	c=1 d=8.82797e-05 t=36939
bu rong yi 	不容易	c=3 d=0.08291 t=36939
bu rong zhi hui 	不容置喙	c=1 d=1 t=33912
bu ru 	不如	c=4 d=1.00011 t=34193
bu ru zheng gui 	步入正軌	c=1 d=0.199888 t=36939
bu ruo 	不弱	c=1 d=0.0380064 t=36939
bu shan 	不善	c=0 d=3.37144e-05 t=36939
bu shan cang 	不善倉	c=1 d=0.000338834 t=36939
bu shan chang 	不擅長	c=1 d=0.000119762 t=36939
bu shao 	不少	c=19 d=0.473291 t=36939
bu she ji 	不涉及	c=1 d=8.17034e-06 t=36939
bu shi 	不是	c=43 d=0.401591 t=36939
bu shi ma 	不是嗎	c=1 d=3.38017e-05 t=36939
bu shi wo 	不是我	c=1 d=1 t=33717
bu shi yi jian 	不是一件	c=1 d=2.81654e-06 t=36939
bu shi zhi xu 	不時之需	c=1 d=0.0113334 t=36939
bu shu 	部署	c=1 d=1 t=33561
bu shu xi 	不熟悉	c=1 d=0.000335463 t=36939
bu shu yu 	不屬於	c=1 d=0.0185924 t=36939
bu shuo le 	不說了	c=1 d=1.30095e-07 t=36939
bu si 	不死	c=0 d=0.00328764 t=36939
bu si zhe 	不死者	c=2 d=0.119767 t=36939
bu suan 	不算	c=1 d=2.17806e-11 t=36939
bu suan shi 	不算是	c=1 d=0.00042433 t=36939
bu tai 	不太	c=5 d=0.00865394 t=36939
bu tai da 	不太大	c=1 d=0.214381 t=36939
bu tai gou 	不太夠	c=1 d=1 t=28636
bu tai liao jie 	不太瞭解	c=1 d=2.46765e-09 t=36939
bu tan 	不談	c=3 d=6.71145e-08 t=36939
bu tong 	不同	c=20 d=3.07384 t=36939
bu tong xing neng 	不同性能	c=1 d=8.52434e-05 t=36939
bu tong xun chang 	不同尋常	c=1 d=0.0550232 t=36939
bu tou 	不透	c=1 d=1 t=33195
bu tu bu kuai 	不吐不快	c=1 d=1 t=32195
bu tuo 	不妥	c=1 d=0.13068 t=36939
bu wan you xi 	不玩遊戲	c=1 d=4.89525e-09 t=36939
bu wang chu xin 	不忘初心	c=1 d=0.57695 t=36939
bu wei 	不爲	c=1 d=2.88186e-11 t=36939
bu wen ding 	不穩定	c=2 d=0.00565622 t=36939
bu xi wang 	不希望	c=1 d=1.36789e-09 t=36939
bu xia 	部下	c=1 d=0.0146253 t=36939
bu xian shi 	不顯示	c=2 d=1.30432e-08 t=36939
bu xiang 	不像	c=2 d=0.349938 t=36939
bu xiang deng 	不相等	c=1 d=3.32181e-06 t=36939
bu xiang guan 	不相關	c=1 d=2.80975e-07 t=36939
bu xiang yao 	不想要	c=1 d=1 t=32870
bu xiao xin 	不小心	c=1 d=0.0213864 t=36939
bu xie 	不寫	c=0 d=0.1 t=32255
bu xie xie shen me 	不寫些什麼	c=1 d=1 t=32256
bu xing 	不行	c=1 d=1.86083e-12 t=36939
bu xu yao 	不需要	c=12 d=0.251579 t=36939
bu yan er yu 	不言而喻	c=3 d=0.117144 t=36939
bu yao 	不要	c=7 d=0.00360656 t=36939
bu yao jin 	不要緊	c=1 d=6.0684e-07 t=36939
bu yao yong 	不要用	c=1 d=8.23255e-07 t=36939
bu yi 	不一	c=1 d=0.00628242 t=36939
bu yi 	不宜	c=1 d=1 t=34875
bu yi 	不易	c=1 d=8.3786e-08 t=36939
bu yi 	布衣	c=0 d=1.36083e-08 t=36939
bu yi ding 	不一定	c=1 d=0.00612731 t=36939
bu yi er zu 	不一而足	c=1 d=0.0706512 t=36939
bu yi shen xiang 	布衣神相	c=1 d=1.36765e-07 t=36939
bu yi yang 	不一樣	c=3 d=0.00752142 t=36939
bu yin ru 	不引入	c=1 d=1 t=34919
bu ying gai 	不應該	c=2 d=0.00200924 t=36939
bu ying gai shi 	不應該是	c=1 d=5.46353e-07 t=36939
bu ying xiang 	不影響	c=2 d=0.0520787 t=36939
bu yong 	不用	c=7 d=0.150318 t=36939
bu yong ba 	不用吧	c=1 d=1 t=28530
bu yuan 	不願	c=2 d=0.175648 t=36939
bu yuan yi 	不願意	c=1 d=0.0357931 t=36939
bu yue er tong 	不約而同	c=1 d=2.50537e-11 t=36939
bu yun xu 	不允許	c=3 d=0.0179692 t=36939
bu zai 	不再	c=13 d=0.771052 t=36939
bu zai 	不在	c=2 d=0.000356206 t=36939
bu zen me 	不怎麼	c=2 d=0.000158824 t=36939
bu zhen shi 	不真實	c=1 d=1 t=29128
bu zheng que 	不正確	c=3 d=0.806541 t=36939
bu zhi 	不知	c=4 d=0.0184074 t=36939
bu zhi chi 	不支持	c=5 d=0.843665 t=36939
bu zhi dao 	不知道	c=5 d=0.000682328 t=36939
bu zhi de 	不值得	c=1 d=0.0485578 t=36939
bu zhi wei he 	不知爲何	c=1 d=3.59041e-09 t=36939
bu zhong yao 	不重要	c=1 d=1 t=33192
bu zhou 	步驟	c=6 d=0.22118 t=36939
bu zhuan ye 	不專業	c=3 d=0.0960789 t=36939
bu zhui shu 	不贅述	c=1 d=1 t=34853
bu zhuo 	捕捉	c=1 d=1 t=32981
bu zhuo dao 	捕捉到	c=1 d=0.170333 t=36939
bu zi zai 	不自在	c=1 d=7.24891e-10 t=36939
bu zu 	不足	c=8 d=0.00872246 t=36939
bu zu wei ju 	不足爲懼	c=1 d=0.0459593 t=36939
bu zu wei qi 	不足爲奇	c=1 d=0.0645703 t=36939
bu zuo 	不做	c=1 d=1 t=33169
ca shang 	擦傷	c=2 d=1.99501 t=30963
cai 	才	c=6 d=0.25924 t=36939
cai ce 	猜測	c=5 d=0.399657 t=36939
cai cha ge 	採茶歌	c=1 d=1 t=36939
cai dan 	彩蛋	c=1 d=0.0145524 t=36939
cai dan 	菜單	c=7 d=0.0647433 t=36939
cai dan lan 	菜單欄	c=3 d=0.000227984 t=36939
cai dui 	纔對	c=2 d=0.324652 t=36939
cai fu 	財富	c=9 d=0.128402 t=36939
cai gang gang 	纔剛剛	c=1 d=3.81113e-05 t=36939
cai hui 	纔會	c=2 d=0.0219278 t=36939
cai jue 	採掘	c=1 d=0.00138785 t=36939
cai kai shi 	纔開始	c=1 d=7.50711e-10 t=36939
cai liao 	材料	c=3 d=0.213734 t=36808
cai neng 	才能	c=4 d=0.499074 t=36939
cai qu 	採取	c=1 d=1.20736e-11 t=36939
cai shi 	纔是	c=5 d=0.763379 t=36939
cai xing 	才行	c=1 d=1 t=32584
cai yong 	採用	c=14 d=0.0934807 t=36939
cai yong le 	採用了	c=1 d=0.0381969 t=36939
cai zheng 	財政	c=1 d=1 t=36445
cai zi 	才子	c=1 d=0.00257325 t=36939
can 	殘	c=0 d=8.3786e-09 t=36939
can an 	慘案	c=1 d=8.35697e-07 t=36939
can deng 	殘燈	c=0 d=2.13384e-06 t=36939
can guan 	參觀	c=1 d=1 t=31154
can guan le 	參觀了	c=1 d=1.08141e-09 t=36939
can jia 	參加	c=5 d=0.00114696 t=36939
can jia le 	參加了	c=1 d=1.45975e-09 t=36939
can kao 	參考	c=7 d=0.98063 t=36939
can kao shou ce 	參考手冊	c=1 d=1 t=29976
can ku 	殘酷	c=1 d=6.30297e-12 t=36939
can liu 	殘留	c=2 d=5.23575e-06 t=36939
can sai 	參賽	c=1 d=1.32403e-08 t=36939
can sai xuan shou 	參賽選手	c=1 d=0.00990218 t=36939
can sai zhe 	參賽者	c=1 d=1 t=29120
can shu 	參數	c=19 d=3.31125 t=36939
can yin 	餐飲	c=1 d=0.0401553 t=36939
can yu 	參與	c=9 d=0.0664678 t=36939
can za 	參雜	c=1 d=2.46128e-08 t=36939
can zhao 	參照	c=3 d=0.0123389 t=36939
cang 	倉	c=0 d=3.37144e-05 t=36939
cang hai heng liu 	滄海橫流	c=1 d=1.70478e-11 t=36939
cang ku 	倉庫	c=1 d=0.127454 t=36939
cang long 	藏龍	c=0 d=1.33688e-05 t=36939
cang long bao dian 	藏龍寶典	c=1 d=0.000134358 t=36939
cang zai 	藏在	c=3 d=0.0289043 t=36939
cang zhuo 	藏拙	c=1 d=0.0490458 t=36939
cao 	槽	c=6 d=0.0890264 t=36939
cao cao 	曹操	c=3 d=0.336216 t=36939
cao chuang 	草創	c=1 d=2.88834e-08 t=36939
cao yin 	曹寅	c=2 d=1.56866e-09 t=36939
cao za 	嘈雜	c=1 d=0.000435072 t=36939
cao zuo 	操作	c=36 d=0.677698 t=36939
cao zuo shu 	操作數	c=1 d=0.000596161 t=36939
ce 	測	c=11 d=1.35519 t=36939
ce bian lan 	側邊欄	c=7 d=0.0271874 t=36939
ce de 	測得	c=3 d=0.25284 t=36939
ce ding 	測定	c=21 d=1.66092 t=36939
ce ding fa 	測定法	c=1 d=0.142987 t=36939
ce ding hou 	測定後	c=1 d=0.131994 t=36939
ce liang 	測量	c=10 d=0.805091 t=36939
ce liang pan 	測量盤	c=2 d=0.448252 t=36939
ce liang qian 	測量前	c=1 d=4.54231e-11 t=36939
ce liang shi 	測量時	c=1 d=0.755784 t=36939
ce liang zhi 	測量值	c=3 d=0.619973 t=36939
ce lve 	策略	c=8 d=0.136695 t=36939
ce shi 	測試	c=32 d=0.522369 t=36939
ce shi dian 	測試點	c=1 d=0.00729913 t=36939
ce suan 	測算	c=1 d=0.0271874 t=36939
ceng 	層	c=1 d=1 t=34842
ceng 	曾	c=1 d=0.00213348 t=36939
ceng ci 	層次	c=0 d=3.74533e-07 t=36939
ceng jing 	曾經	c=2 d=0.00113627 t=36939
ceng mian 	層面	c=2 d=0.000129737 t=36939
ceng shu 	層數	c=2 d=1.00063 t=36322
ceng zai 	曾在	c=1 d=0.00198925 t=36939
cha 	差	c=6 d=0.0561348 t=36939
cha 	查	c=1 d=1 t=30646
cha bie 	差別	c=2 d=0.0294518 t=36939
cha bu duo 	差不多	c=5 d=0.404542 t=36939
cha bu duo de 	差不多的	c=1 d=1.65811e-08 t=36939
cha bu tai duo 	差不太多	c=1 d=1 t=34804
cha ci 	查詞	c=1 d=1 t=31255
cha cuo 	差錯	c=1 d=0.000220415 t=36939
cha fen 	差分	c=2 d=3.78612e-11 t=36939
cha fen 	查分	c=1 d=1.03668e-12 t=36939
cha hua 	插畫	c=3 d=2.84736 t=33487
cha jian 	插件	c=17 d=0.00392653 t=36939
cha jin 	差勁	c=1 d=0.00381048 t=36939
cha kan 	查看	c=18 d=1.5238 t=36939
cha le 	插了	c=0 d=0.00544757 t=36939
cha le yi xie 	插了一些	c=1 d=0.0547488 t=36939
cha li ding lv 	查理定律	c=2 d=1.18246e-11 t=36939
cha mo 	差模	c=1 d=2.56879e-11 t=36939
cha ru 	插入	c=15 d=1.20212 t=36939
cha ru de 	插入的	c=1 d=1 t=35874
cha ru le 	插入了	c=2 d=0.204609 t=36939
cha shui 	茶水	c=1 d=0.000185029 t=36939
cha xu 	差序	c=1 d=6.59308e-12 t=36939
cha xun 	查詢	c=6 d=0.0176859 t=36939
cha ya 	差壓	c=1 d=1.28844e-11 t=36939
cha yi 	差異	c=4 d=0.000982903 t=36939
cha yue 	查閱	c=1 d=0.0146986 t=36939
cha zhao 	查找	c=7 d=0.369723 t=36939
cha zhao chuan 	查找串	c=7 d=0.000351164 t=36939
cha zhi 	差之	c=1 d=3.01297e-05 t=36939
cha zhi 	插值	c=2 d=0.0720785 t=36939
chai fen 	拆分	c=2 d=1.99005 t=35714
chai jie 	拆解	c=1 d=3.75503e-07 t=36939
chai kai 	拆開	c=1 d=1.03347e-05 t=36939
chan chu 	剷除	c=1 d=0.0605068 t=36939
chan ming 	闡明	c=0 d=0.000733572 t=36939
chan ming le 	闡明了	c=1 d=0.00737249 t=36939
chan neng 	產能	c=2 d=0.318471 t=36939
chan pin 	產品	c=3 d=1.59456 t=33730
chan sheng 	產生	c=9 d=0.391896 t=36939
chan shi 	闡釋	c=3 d=0.694623 t=36939
chan shi le 	闡釋了	c=1 d=0.00895987 t=36939
chan shu 	闡述	c=3 d=0.431756 t=36939
chan shu le 	闡述了	c=1 d=0.00677172 t=36939
chan ye 	產業	c=4 d=0.255317 t=36939
chan ye jie gou 	產業結構	c=1 d=0.00786762 t=36939
chang 	場	c=1 d=1 t=28649
chang 	常	c=0 d=0.1 t=30804
chang 	椙	c=1 d=0.00030659 t=36939
chang 	長	c=6 d=6.08921e-05 t=36939
chang chang 	常常	c=1 d=0.00251621 t=36939
chang dai hui 	常代會	c=4 d=1 t=36749
chang du 	長度	c=32 d=0.918512 t=36939
chang fang xing 	長方形	c=1 d=0.000131698 t=36939
chang he 	場合	c=2 d=3.38132e-09 t=36939
chang jian 	常見	c=3 d=0.135335 t=36939
chang jiang 	長江	c=1 d=3.05954e-09 t=36939
chang jing 	場景	c=9 d=5.80535e-05 t=36939
chang jiu 	長久	c=2 d=0.179964 t=36939
chang jiu yi lai 	長久以來	c=1 d=2.67272e-07 t=36939
chang kuai 	暢快	c=0 d=0.00858632 t=36939
chang kuai gan 	暢快感	c=1 d=0.0862936 t=36939
chang mian 	場面	c=1 d=0.000113922 t=36939
chang pian 	唱片	c=1 d=6.9972e-06 t=36939
chang pian 	長篇	c=3 d=1.47268e-05 t=36939
chang pian lei du 	長篇累牘	c=2 d=2.01467e-06 t=36939
chang qi 	長期	c=1 d=4.5769e-12 t=36939
chang qing 	長青	c=1 d=1.42788e-14 t=36939
chang shi 	嘗試	c=14 d=0.0599047 t=36939
chang shi 	常識	c=1 d=1 t=29165
chang shi le 	嘗試了	c=1 d=2.10315e-11 t=36939
chang shi zhe 	嘗試着	c=1 d=3.5725e-09 t=36939
chang shu 	常數	c=25 d=0.95525 t=36939
chang shu 	常熟	c=1 d=9.49743e-12 t=36939
chang shu guo da 	常數過大	c=1 d=1.94615e-10 t=36939
chang shu you hua 	常數優化	c=1 d=3.19156e-06 t=36939
chang wei 	長爲	c=1 d=1 t=29786
chang wu 	常務	c=4 d=0.423162 t=36939
chang wu bu 	常務部	c=1 d=0.00305798 t=36939
chang wu zu 	常務組	c=1 d=0.000510561 t=36939
chang xi shu 	常係數	c=1 d=0.0095616 t=36939
chang xing dao 	長興島	c=1 d=3.01399e-09 t=36939
chang yong 	常用	c=2 d=0.00562801 t=36939
chang you 	常有	c=1 d=2.80975e-07 t=36939
chang yuan 	長遠	c=1 d=1.62949e-09 t=36939
chang zheng shu 	長整數	c=1 d=0.000623601 t=36939
chang zheng xing 	長整型	c=1 d=1.16825e-06 t=36939
chao 	抄	c=1 d=5.38219e-07 t=36939
chao 	超	c=2 d=0.000409735 t=36939
chao chu le 	超出了	c=1 d=0.00339653 t=36939
chao e 	超額	c=2 d=0.128093 t=36939
chao feng 	嘲諷	c=1 d=0.000728153 t=36939
chao guo 	超過	c=3 d=0.509156 t=36939
chao ji 	超級	c=1 d=0.0195457 t=36939
chao qi chao luo 	潮起潮落	c=1 d=2.8248e-11 t=36939
chao qian 	超前	c=2 d=1.74931 t=31551
chao qian jin wei 	超前進位	c=3 d=2.36228 t=31573
chao shi 	超市	c=0 d=0.1 t=30684
chao shi 	超時	c=3 d=3.10473e-05 t=36939
chao xiang 	朝向	c=1 d=1 t=34103
chao yue xing 	超越性	c=1 d=8.80818e-08 t=36939
chao zi ran 	超自然	c=2 d=0.00429404 t=36939
che di 	徹底	c=1 d=0.351692 t=36939
che nei 	車內	c=1 d=0.0109436 t=36939
che shang 	車上	c=3 d=0.356134 t=36939
che xiao 	撤銷	c=3 d=0.900325 t=36939
chen 	塵	c=0 d=0.1 t=34676
chen 	陳	c=3 d=1 t=33722
chen bu ran 	塵不染	c=1 d=1 t=34677
chen feng 	塵封	c=1 d=2.00507e-08 t=36939
chen guo 	陳果	c=4 d=3.66169e-05 t=36939
chen mo 	沉沒	c=1 d=1 t=32313
chen qi gang 	陳其剛	c=1 d=1.43085e-09 t=36939
chen yuan 	塵緣	c=2 d=0.0215081 t=36939
chen zhe 	趁着	c=1 d=4.39594e-08 t=36939
cheng 	城	c=0 d=7.61927e-09 t=36939
cheng 	成	c=11 d=0.0756567 t=36939
cheng 	程	c=3 d=0.994084 t=36939
cheng 	稱	c=1 d=1 t=32432
cheng ben 	成本	c=1 d=1.23771e-09 t=36939
cheng dan 	承擔	c=3 d=0.559876 t=34311
cheng dao 	稱道	c=1 d=0.00308872 t=36939
cheng dao de 	稱道的	c=1 d=1.4854e-08 t=36939
cheng du 	成都	c=4 d=0.00616771 t=36939
cheng du 	程度	c=5 d=0.238115 t=36939
cheng du shang 	程度上	c=0 d=0.1 t=33930
cheng fa 	乘法	c=4 d=1.41292e-06 t=36939
cheng fa 	懲罰	c=2 d=1.05824 t=36939
cheng gong 	成功	c=13 d=0.896606 t=36939
cheng guo 	成果	c=2 d=0.158817 t=36939
cheng ji 	成績	c=1 d=1 t=33330
cheng jie 	承接	c=1 d=0.522046 t=36939
cheng jiu 	成就	c=3 d=1.78986e-07 t=36939
cheng le 	成了	c=3 d=0.319819 t=36939
cheng li 	成立	c=1 d=2.93958e-09 t=36939
cheng mu jie she 	瞠目結舌	c=1 d=6.55685e-06 t=36939
cheng qi lai 	乘起來	c=1 d=1.05708e-06 t=36939
cheng qian qi hou 	承前啓後	c=2 d=1.00553e-06 t=36939
cheng ren 	承認	c=0 d=0.000307331 t=36939
cheng shang qi xia 	承上啓下	c=1 d=8.80668e-06 t=36939
cheng she 	程設	c=1 d=6.34988e-11 t=36939
cheng shi 	城市	c=1 d=2.11333e-09 t=36939
cheng shu 	成熟	c=2 d=0.0561348 t=36939
cheng wei 	成爲	c=5 d=0.0188734 t=36939
cheng wei le 	成爲了	c=1 d=0.0632918 t=36939
cheng wo 	稱我	c=1 d=0.000812821 t=36939
cheng xian 	呈現	c=8 d=0.0526021 t=36939
cheng xian chu 	呈現出	c=1 d=6.3488e-09 t=36939
cheng xin 	誠心	c=1 d=0.0322254 t=36939
cheng xu 	程序	c=18 d=1.15471 t=36939
cheng xu ku 	程序庫	c=3 d=0.0333307 t=36939
cheng xu she ji 	程序設計	c=4 d=3.0841e-06 t=36939
cheng xu xing 	程序性	c=1 d=1 t=35834
cheng xu yuan 	程序員	c=3 d=0.00316691 t=36939
cheng yi 	誠意	c=1 d=0.119433 t=36939
cheng you 	盛有	c=1 d=1.81927e-11 t=36939
cheng yuan 	成員	c=5 d=0.0319048 t=36939
cheng zhe 	撐着	c=1 d=0.00704808 t=36939
cheng zhi wei 	稱之爲	c=2 d=0.228779 t=36939
chi 	持	c=1 d=1.3408e-09 t=36939
chi 	池	c=0 d=0.0257947 t=36939
chi 	癡	c=0 d=0.000782838 t=36939
chi du 	尺牘	c=1 d=2.03538e-08 t=36939
chi fan 	吃飯	c=1 d=9.51553e-05 t=36939
chi jing 	吃驚	c=1 d=0.00273944 t=36939
chi jun 	赤軍	c=1 d=0.400517 t=36939
chi mi 	癡迷	c=2 d=1.42151e-07 t=36939
chi xu 	持續	c=3 d=0.0623495 t=36939
chi zhe 	吃着	c=1 d=8.35414e-05 t=36939
chi zhe wai mai 	吃着外賣	c=1 d=8.21129e-06 t=36939
chong bian 	重邊	c=2 d=0.0935438 t=36939
chong chi zhe 	充斥着	c=1 d=8.31387e-05 t=36939
chong die 	重疊	c=1 d=0.000147011 t=36939
chong du 	重讀	c=1 d=0.00419023 t=36939
chong fen 	充分	c=4 d=0.159614 t=36939
chong fu 	重複	c=12 d=0.927743 t=36939
chong fu de 	重複的	c=1 d=1 t=33716
chong gou 	重構	c=16 d=0.701173 t=36939
chong hui 	重繪	c=1 d=0.000133688 t=36939
chong ji 	衝擊	c=1 d=2.4192e-11 t=36939
chong jing 	憧憬	c=4 d=0.654783 t=36939
chong luan 	蟲卵	c=1 d=1 t=31917
chong man 	充滿	c=2 d=0.00105946 t=36939
chong man le 	充滿了	c=1 d=9.49258e-06 t=36939
chong qi 	重啓	c=3 d=0.000401622 t=36939
chong qi hou 	重啓後	c=1 d=1 t=35328
chong shi 	充實	c=1 d=0.000430743 t=36939
chong su 	重塑	c=2 d=1.67368 t=30022
chong tu 	衝突	c=13 d=0.598106 t=36939
chong xie 	重寫	c=4 d=0.000150733 t=36939
chong xin 	重新	c=9 d=0.018225 t=36939
chong xing 	寵幸	c=1 d=1 t=32320
chong ya 	衝呀	c=2 d=1.97045 t=28925
chong zai 	重載	c=5 d=0.201899 t=36939
chong zhi 	重置	c=13 d=0.000227867 t=36939
chong zhuang 	重裝	c=1 d=3.19928e-05 t=36939
chong zuo 	重做	c=1 d=2.9043e-14 t=36939
chou 	丑	c=1 d=0.0407622 t=36939
chou bei 	籌備	c=4 d=1 t=36761
chou bu chou 	丑不醜	c=1 d=1 t=35524
chou chu 	抽出	c=1 d=2.64019e-10 t=36939
chou jue 	丑角	c=1 d=0.0461896 t=36939
