# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	7834
#@/user_id	linusboyle
a 	啊	c=2 d=5.95428e-11 t=7834
shen dao mo jian 	神刀魔劍	c=1 d=0.286505 t=7834
shen dian 	神殿	c=1 d=0.00433948 t=7834
shen du 	深度	c=0 d=0.1 t=6706
shen du zhong duan 	深度終端	c=1 d=1 t=6707
shen fen 	身份	c=7 d=0.256661 t=7834
shen gao 	身高	c=1 d=0.111359 t=7834
shen jian 	神劍	c=1 d=0.299692 t=7834
shen jian mo dao 	神劍魔刀	c=1 d=0.287941 t=7834
shen ke 	深刻	c=1 d=0.00189223 t=7834
shen me 	什麼	c=14 d=0.209927 t=7834
shen me de 	什麼的	c=1 d=0.00289433 t=7834
shen me yi si 	什麼意思	c=1 d=0.017249 t=7834
shen mi 	神祕	c=1 d=1.34057e-07 t=7834
shen mi xue 	神祕學	c=1 d=0.00197932 t=7834
shen mo 	神魔	c=26 d=2.16999 t=7834
shen mo bu dai xi 	神魔布袋戲	c=1 d=5.27651e-09 t=7834
shen qian 	深潛	c=0 d=0.000551656 t=7834
shen qian zhe 	深潛者	c=1 d=0.00554422 t=7834
shen ru 	深入	c=1 d=9.88334e-10 t=7834
shen shang 	身上	c=6 d=0.571209 t=7834
shen shen 	深深	c=1 d=1.8325e-08 t=7834
shen shi 	紳士	c=1 d=0.00514361 t=7834
shen shi 	身世	c=1 d=0.0221482 t=7834
shen wai zhi wu 	身外之物	c=1 d=0.0261214 t=7834
shen wei 	身爲	c=1 d=0.0206508 t=7834
shen zhi 	甚至	c=4 d=0.190139 t=7834
shen zhuo 	身着	c=1 d=0.0170774 t=7834
sheng 	聖	c=1 d=0.00677172 t=7834
sheng ban ying tao 	生搬硬套	c=1 d=0.0466538 t=7834
sheng cheng 	生成	c=1 d=1 t=7081
sheng chu 	生處	c=1 d=1 t=6915
sheng hua 	昇華	c=1 d=2.74728e-06 t=7834
sheng hua zhi ye 	昇華之夜	c=1 d=2.75458e-09 t=7834
sheng huo 	生活	c=2 d=0.00104247 t=7834
sheng huo quan yi bu 	生活權益部	c=2 d=0.000909636 t=7834
sheng ming 	生命	c=1 d=0.0277367 t=7834
sheng ming 	聲明	c=3 d=0.00640912 t=7834
sheng ni 	聖霓	c=1 d=3.18386e-07 t=7834
sheng ri 	生日	c=1 d=0.0167392 t=7834
sheng tai 	生態	c=3 d=6.09007e-08 t=7834
sheng wu 	生物	c=4 d=1.96769e-05 t=7834
sheng wu xin pian 	生物芯片	c=3 d=4.19541e-05 t=7834
sheng xia 	剩下	c=1 d=0.0720785 t=7834
sheng xin 	省心	c=1 d=1.96979e-05 t=7834
sheng yin 	聲音	c=1 d=1.03615e-06 t=7834
sheng zhang 	聖章	c=4 d=3.92131 t=6903
shi 	世	c=0 d=0.1 t=6916
shi 	事	c=3 d=0.00481991 t=7834
shi 	使	c=1 d=0.249075 t=7834
shi 	士	c=0 d=0.1 t=6934
shi 	式	c=2 d=0.0105863 t=7834
shi 	是	c=103 d=1.54507 t=7834
shi 	時	c=21 d=0.941585 t=7834
shi 	詩	c=1 d=0.0510474 t=7834
shi bai 	失敗	c=1 d=0.00484407 t=7834
shi bu shi 	是不是	c=3 d=0.361305 t=7834
shi cong 	是從	c=1 d=0.280832 t=7834
shi dang 	適當	c=1 d=2.26579e-05 t=7834
shi de 	使得	c=2 d=0.0510474 t=7834
shi de 	是的	c=1 d=1 t=7176
shi di 	實地	c=1 d=0.000841773 t=7834
shi fei 	是非	c=0 d=0.00081887 t=7834
shi fei mo ding 	是非莫定	c=1 d=0.00822975 t=7834
shi fen 	時分	c=1 d=1 t=6511
shi fou 	是否	c=6 d=1.52737 t=7834
shi gei 	是給	c=1 d=1 t=7408
shi hao shi huai 	是好是壞	c=2 d=1.5981e-07 t=7834
shi hao shi huai 	時好時壞	c=1 d=6.84327e-09 t=7834
shi hou 	時候	c=8 d=0.297483 t=7834
shi ji 	十集	c=1 d=0.196912 t=7834
shi ji 	實際	c=4 d=0.00288621 t=7834
shi ji 	時機	c=1 d=0.0555762 t=7834
shi ji shang 	實際上	c=8 d=0.232512 t=7834
shi jian 	事件	c=11 d=3.39039 t=7834
shi jian 	實踐	c=8 d=0.00782838 t=7834
shi jian 	時間	c=7 d=1.35948 t=7834
shi jian chuo 	時間戳	c=1 d=1 t=7722
shi jian ming 	事件名	c=1 d=0.199888 t=7834
shi jian shi 	實踐時	c=1 d=1.2818e-09 t=7834
shi jian zhi dui 	實踐支隊	c=1 d=2.32434e-11 t=7834
shi jiao 	視角	c=1 d=1.70391e-05 t=7834
shi jie 	世界	c=2 d=0.00142298 t=7834
shi jie da zhan 	世界大戰	c=1 d=0.0678809 t=7834
shi jie guan 	世界觀	c=1 d=2.22706e-08 t=7834
shi jue 	視覺	c=1 d=5.28927e-08 t=7834
shi ke 	時刻	c=1 d=2.72764e-11 t=7834
shi li 	勢力	c=1 d=0.060205 t=7834
shi li 	實例	c=2 d=0.155701 t=7834
shi li 	實力	c=1 d=2.7005e-11 t=7834
shi li 	示例	c=1 d=0.856415 t=7834
shi liu jin zhi 	十六進制	c=1 d=0.0162445 t=7834
shi nian jian 	十年間	c=0 d=0.00665368 t=7834
shi nian lai 	十年來	c=1 d=0.071719 t=7834
shi qi 	時期	c=1 d=1.77834e-08 t=7834
shi qing 	事情	c=1 d=1.08421e-10 t=7834
shi ri 	時日	c=1 d=5.70219e-10 t=7834
shi shan 	屍山	c=1 d=0.25284 t=7834
shi shang du shi 	時尚都市	c=1 d=0.0173355 t=7834
shi shi 	實時	c=1 d=0.000239969 t=7834
shi shu yu 	是屬於	c=1 d=0.640824 t=7834
shi shui 	是誰	c=1 d=0.0753961 t=7834
shi tai 	時態	c=1 d=0.000200439 t=7834
shi tong guo 	是通過	c=1 d=0.32628 t=7834
shi tu 	視圖	c=8 d=0.00193055 t=7834
shi tu 	試圖	c=3 d=0.00194013 t=7834
shi wan 	十萬	c=1 d=0.00704808 t=7834
shi wang 	失望	c=1 d=0.191092 t=7834
shi wei 	式微	c=0 d=1.1396e-09 t=7834
shi wei le 	是爲了	c=2 d=0.373439 t=7834
shi wu 	事物	c=2 d=0.00235786 t=7834
shi wu fa 	是無法	c=1 d=1 t=7194
shi xian 	實現	c=19 d=2.51661 t=7834
shi xian wen jian 	實現文件	c=1 d=9.70776e-05 t=7834
shi xiang 	是想	c=1 d=4.71388e-06 t=7834
shi yan 	實驗	c=6 d=0.229383 t=7834
shi ye 	是也	c=1 d=0.00814786 t=7834
shi ye 	視野	c=0 d=1.91717e-11 t=7834
shi yong 	使用	c=23 d=0.608185 t=7834
shi yong 	適用	c=1 d=0.00653881 t=7834
shi yong yu 	適用於	c=1 d=2.22668e-06 t=7834
shi yong zhe 	使用者	c=1 d=2.51057e-06 t=7834
shi you 	是有	c=1 d=1 t=7357
shi zai 	實在	c=3 d=0.0898153 t=7834
shi zai 	是在	c=1 d=8.40029e-09 t=7834
shi zhe yang 	是這樣	c=1 d=0.202909 t=7834
shi zuo 	視作	c=0 d=3.67117e-07 t=7834
shou 	受	c=1 d=2.56836e-09 t=7834
shou 	收	c=2 d=0.13068 t=7834
shou dao 	受到	c=1 d=0.066205 t=7834
shou dao 	收到	c=1 d=0.0473589 t=7834
shou dao le 	受到了	c=1 d=2.45576e-11 t=7834
shou de 	熟的	c=1 d=0.130029 t=7834
shou fa 	手法	c=1 d=4.22357e-08 t=7834
shou hu 	守護	c=2 d=0.0306541 t=7834
shou huo 	收穫	c=1 d=1.03383e-09 t=7834
shou ji 	手記	c=1 d=1.66184e-05 t=7834
shou liu dan 	手榴彈	c=1 d=0.0113902 t=7834
shou lu 	收錄	c=2 d=0.00063885 t=7834
shou qiang 	手槍	c=2 d=0.202404 t=7834
shou quan 	授權	c=2 d=0.000337144 t=7834
shou ru 	收入	c=1 d=0.189191 t=7834
shou xian 	首先	c=3 d=0.00176667 t=7834
shou yin 	收音	c=1 d=6.91205e-09 t=7834
shou zhi 	受制	c=1 d=1.72103e-05 t=7834
shu 	數	c=1 d=1.07045 t=7242
shu 	書	c=0 d=2.75458e-10 t=7834
shu bu jin 	數不盡	c=1 d=0.0800583 t=7834
shu chu 	輸出	c=5 d=0.00813441 t=7834
shu chu guan dao 	輸出管道	c=5 d=0.00054848 t=7834
shu de 	輸得	c=0 d=0.1 t=7572
shu de zai qing chu yi dian 	輸得在清楚一點	c=1 d=1 t=7573
shu ge 	數個	c=2 d=0.0119522 t=7834
shu jia 	暑假	c=1 d=0.000761668 t=7834
shu ju 	數據	c=6 d=0.289223 t=7834
shu ju jie gou 	數據結構	c=4 d=1.80864 t=7637
shu nian 	數年	c=1 d=0.0629761 t=7834
shu qian 	書籤	c=2 d=1.67546e-05 t=7834
shu ru 	輸入	c=4 d=5.84763e-05 t=7834
shu ru guan dao 	輸入管道	c=4 d=0.000379104 t=7834
shu shi 	屬實	c=1 d=0.0328764 t=7834
shu shi ge 	數十個	c=1 d=0.00729913 t=7834
shu shi wan 	數十萬	c=1 d=0.0862936 t=7834
shu tian 	數天	c=1 d=7.60219e-11 t=7834
shu xi 	熟悉	c=2 d=0.00104765 t=7834
shu xing 	屬性	c=1 d=5.30116e-05 t=7834
shu xue shang 	數學上	c=1 d=0.000117979 t=7834
shu yu 	屬於	c=3 d=0.0842821 t=7834
shu zi 	數字	c=4 d=0.0171663 t=7834
shu zi huo bi 	數字貨幣	c=2 d=2.5127e-10 t=7834
shu zu 	數組	c=5 d=1.47302 t=7529
shua xin 	刷新	c=5 d=2.36613 t=7834
shuang chong 	雙重	c=1 d=9.90555e-07 t=7834
shuang ji 	雙擊	c=1 d=0.000151489 t=7834
shuang yu 	雙語	c=1 d=1.99956e-05 t=7834
shui hu 	水滸	c=0 d=0.1 t=7745
shui hu ji 	水滸記	c=1 d=1 t=7746
shui mo 	水墨	c=1 d=1 t=7826
shui ping 	水平	c=1 d=0.000561443 t=7834
shun bian 	順便	c=1 d=0.000534061 t=7834
shuo 	說	c=9 d=0.925851 t=7834
shuo bu ding 	說不定	c=3 d=0.390602 t=7834
shuo chu 	說出	c=2 d=0.13068 t=7834
shuo dao 	說到	c=1 d=1.57725e-08 t=7834
shuo de 	說的	c=1 d=0.000157671 t=7834
shuo fa 	說法	c=1 d=0.031117 t=7834
shuo hui lai 	說回來	c=1 d=8.85384e-10 t=7834
shuo le suan 	說了算	c=1 d=5.13295e-08 t=7834
shuo ming 	說明	c=4 d=0.174645 t=7834
shuo qi lai 	說起來	c=1 d=5.12057e-09 t=7834
shuo shuo 	說說	c=1 d=1.5383e-08 t=7834
shuo yi shuo 	說一說	c=1 d=3.34767e-09 t=7834
si 	四	c=1 d=0.474734 t=7834
si 	死	c=0 d=0.00153752 t=7834
si bian 	思辨	c=1 d=0.00895987 t=7834
si chuan 	四川	c=1 d=0.00265848 t=7834
si ge 	四個	c=2 d=0.0429557 t=7834
si ge bu fen 	四個部分	c=2 d=6.60338e-05 t=7834
si ge gai nian 	四個概念	c=1 d=1 t=7666
si hao 	絲毫	c=1 d=0.105928 t=7834
si hu 	似乎	c=2 d=0.00159641 t=7834
si ji 	四季	c=1 d=3.81884e-09 t=7834
si ji 	四集	c=1 d=0.0973335 t=7834
si ji lun hui 	四季輪迴	c=2 d=7.2926e-09 t=7834
si kao 	思考	c=2 d=0.0114473 t=7834
si shi fen zhong 	四十分鐘	c=1 d=4.94445e-09 t=7834
si xiang 	思想	c=2 d=0.537944 t=7834
si xiang gao du 	思想高度	c=1 d=1.16845e-08 t=7834
su 	蘇	c=1 d=7.85265e-10 t=7834
su qiu 	訴求	c=2 d=0.000539429 t=7834
su ri 	素日	c=0 d=0.00466538 t=7834
su ri an 	素日按	c=1 d=0.0468877 t=7834
su wen qing 	蘇文慶	c=2 d=1.95556 t=7834
suan 	算	c=0 d=0.0151072 t=7834
suan fa 	算法	c=7 d=0.438736 t=7834
suan ji 	算計	c=1 d=2.56792e-07 t=7834
suan shi 	算是	c=2 d=0.000428594 t=7834
sui 	歲	c=1 d=0.0426384 t=7834
sui 	隨	c=1 d=0.0936258 t=7834
sui fan chen 	隨凡塵	c=1 d=0.810584 t=7834
sui ji 	隨機	c=1 d=1 t=7080
sui ran 	雖然	c=12 d=0.668401 t=7834
sui ran shuo 	雖然說	c=1 d=1 t=7499
sui shen 	隨身	c=1 d=0.00900478 t=7834
sui shi 	隨時	c=4 d=0.27899 t=7834
sui shi sui di 	隨時隨地	c=1 d=0.133989 t=7834
sui zhe 	隨着	c=1 d=4.25573e-09 t=7834
sui zhi 	隨之	c=1 d=0.729789 t=7834
suo 	所	c=2 d=0.0652193 t=7834
suo chu 	所處	c=1 d=0.00157264 t=7834
suo fang 	縮放	c=2 d=7.79915e-05 t=7834
suo mian dui 	所面對	c=1 d=5.70025e-06 t=7834
suo shuo 	所說	c=2 d=0.0301974 t=7834
suo sui 	瑣碎	c=0 d=0.0144424 t=7834
suo wei 	所謂	c=6 d=0.155593 t=7834
suo xiao 	縮小	c=1 d=9.54016e-06 t=7834
suo xuan 	所選	c=1 d=9.9295e-06 t=7834
suo yi 	所以	c=11 d=0.0291368 t=7834
suo ying gai 	所應該	c=1 d=2.11333e-09 t=7834
suo you 	所有	c=5 d=0.744532 t=7834
ta 	他	c=18 d=0.837466 t=7834
ta 	她	c=2 d=0.1764 t=7834
ta 	它	c=5 d=0.11324 t=7834
ta de 	他的	c=1 d=0.00146632 t=7834
ta dou bu neng 	他都不能	c=1 d=0.0239928 t=7834
ta hui 	他會	c=1 d=0.0181334 t=7834
ta men 	他們	c=1 d=8.44096e-07 t=7834
ta men 	它們	c=1 d=1.51175e-09 t=7834
ta qing chu 	他清楚	c=1 d=0.0320647 t=7834
ta ren wei 	他認爲	c=1 d=0.055299 t=7834
ta shi 	它是	c=2 d=0.0224829 t=7834
ta xia yi bu 	他下一步	c=1 d=0.082085 t=7834
ta ye 	他也	c=1 d=0.0208584 t=7834
tai 	太	c=2 d=1.10778e-09 t=7834
tai ci 	臺詞	c=1 d=3.4753e-08 t=7834
tai da 	太大	c=1 d=1 t=7508
tai du 	態度	c=2 d=0.0204453 t=7834
tai duo 	太多	c=2 d=0.289384 t=7834
tai duo le 	太多了	c=1 d=0.142987 t=7834
tai gu 	太古	c=1 d=0.00114197 t=7834
tai guo yu 	太過於	c=1 d=1 t=7179
tai jiu 	太久	c=1 d=0.0319048 t=7834
tai wan 	臺灣	c=2 d=6.82526e-06 t=7834
tan 	談	c=1 d=4.8091e-06 t=7834
tan chu 	彈出	c=1 d=0.463013 t=7834
tan chu chuang kou 	彈出窗口	c=1 d=0.000155324 t=7834
tan de 	談的	c=1 d=0.00292342 t=7834
tan qi 	談起	c=2 d=4.24857e-08 t=7834
tan yi tan 	談一談	c=1 d=0.139457 t=7834
tang 	湯	c=0 d=2.62069e-12 t=7834
tang ke yin 	湯可因	c=1 d=2.63382e-11 t=7834
tang xian zu 	湯顯祖	c=2 d=0.0200097 t=7834
tao 	濤	c=0 d=2.67964e-09 t=7834
tao 	韜	c=0 d=2.31235e-10 t=7834
tao tai 	淘汰	c=1 d=2.78274e-11 t=7834
te bie 	特別	c=3 d=0.330273 t=7834
te dian 	特點	c=3 d=0.088479 t=7834
te hua 	特化	c=2 d=0.15939 t=7834
te li 	特例	c=1 d=0.000958635 t=7834
te se 	特色	c=1 d=5.42317e-08 t=7834
te xing 	特性	c=2 d=0.00474929 t=7834
te you 	特有	c=2 d=0.0366527 t=7834
te zhi 	特質	c=1 d=2.14527e-09 t=7834
ti 	體	c=1 d=7.01722e-05 t=7834
ti ce 	體測	c=1 d=1 t=7271
ti chu 	提出	c=1 d=1.29134e-08 t=7834
ti dao 	提到	c=2 d=0.0616894 t=7834
ti dao 	踢到	c=1 d=1.9603e-07 t=7834
ti dao de 	提到的	c=1 d=1.29468e-09 t=7834
ti gong 	提供	c=2 d=0.00268533 t=7834
ti jiao 	提交	c=5 d=3.92016 t=7787
ti jiao shi jian 	提交時間	c=1 d=1 t=7724
ti mian 	題面	c=1 d=1 t=7102
ti qiu 	踢球	c=0 d=0.1 t=7289
ti qu 	提取	c=1 d=0.00506703 t=7834
ti sheng 	提升	c=1 d=0.000555857 t=7834
ti xi 	體系	c=2 d=2.5553e-10 t=7834
ti yi 	題意	c=1 d=1 t=7438
ti yu chang 	體育場	c=1 d=0.00341356 t=7834
tian 	天	c=1 d=0.035437 t=7834
tian chong 	填充	c=1 d=1 t=7813
tian fu 	天賦	c=1 d=0.0401553 t=7834
tian jia 	添加	c=1 d=0.0017643 t=7834
tian jie 	天階	c=0 d=1.32061e-08 t=7834
tian jie jian sheng 	天階劍聖	c=1 d=1.32723e-07 t=7834
tian sheng 	天生	c=1 d=0.0389686 t=7834
tian xia 	天下	c=0 d=6.28456e-08 t=7834
tian xing 	天行	c=0 d=0.0501576 t=7834
tian zai 	天宰	c=1 d=7.44912e-07 t=7834
tian zhi dao 	天知道	c=1 d=8.63524e-10 t=7834
tiao 	條	c=2 d=6.48005e-05 t=7834
tiao biao 	跳錶	c=1 d=1 t=7349
tiao bu chu lai 	調不出來	c=1 d=1 t=6858
tiao guo 	跳過	c=1 d=1.70832e-06 t=7834
tiao he 	調和	c=1 d=3.80323e-10 t=7834
tiao jian 	條件	c=4 d=0.70499 t=7834
tiao zhan 	挑戰	c=4 d=0.771888 t=7834
tiao zhan zhe 	挑戰者	c=0 d=0.0429557 t=7834
tiao zheng 	調整	c=1 d=0.000184106 t=7834
tie 	貼	c=0 d=0.1 t=7266
tie dai ma 	貼代碼	c=1 d=1 t=7267
tie he 	貼合	c=1 d=0.10435 t=7834
tie jia 	鐵甲	c=0 d=2.58079e-08 t=7834
tie jia zhan shen 	鐵甲戰神	c=1 d=2.59373e-07 t=7834
ting 	挺	c=3 d=0.313608 t=7834
ting dao 	聽到	c=1 d=7.2652e-07 t=7834
ting gao 	挺高	c=1 d=1 t=7483
ting he shi 	挺合適	c=1 d=0.0518189 t=7834
ting liu zai 	停留在	c=1 d=4.09944e-10 t=7834
ting shang qu 	聽上去	c=2 d=1.24698 t=7834
ting xi 	聽戲	c=1 d=0.0028799 t=7834
ting you yi si 	挺有意思	c=1 d=0.0144076 t=7834
ting zhi 	停止	c=1 d=1 t=6573
tong bu 	同步	c=6 d=1 t=7834
tong chang 	通常	c=1 d=2.12906e-08 t=7834
tong guo 	通過	c=15 d=2.7746 t=7834
tong hang 	同行	c=1 d=5.00622e-08 t=7834
tong ji 	統計	c=1 d=0.0478349 t=7834
tong ku 	痛苦	c=2 d=3.51105e-07 t=7834
tong ren 	同人	c=2 d=0.000523958 t=7834
tong ren 	同仁	c=1 d=0.000254808 t=7834
tong shi 	同事	c=1 d=0.121846 t=7834
tong shi 	同時	c=6 d=0.509202 t=7834
tong shi jin xing 	同時進行	c=1 d=2.24325e-05 t=7834
tong tian xiao 	通天曉	c=1 d=1 t=7339
tong xin 	通信	c=3 d=0.324652 t=7834
tong xue 	同學	c=3 d=0.00132879 t=7834
tong xun 	通訊	c=1 d=0.0139818 t=7834
tong yang 	同樣	c=2 d=0.0199539 t=7834
tong yi 	同意	c=2 d=0.565525 t=7834
tong yi ge 	同一個	c=2 d=0.0294518 t=7834
tong yi shi jian 	同一時間	c=1 d=0.218712 t=7834
tong zhi 	通知	c=1 d=0.0110536 t=7834
tou 	頭	c=1 d=0.0157309 t=7834
tou gao 	投稿	c=5 d=0.00026521 t=7834
tou liang ge 	頭兩個	c=1 d=0.0150707 t=7834
tou tong 	頭痛	c=1 d=1 t=7564
tou wen jian 	頭文件	c=3 d=0.0114463 t=7834
tou xu 	頭緒	c=1 d=0.0948935 t=7834
tou zhi zhen 	頭指針	c=1 d=1 t=7055
tou zi 	投資	c=1 d=3.45021e-11 t=7834
tou zi 	頭子	c=1 d=0.0420036 t=7834
tou zi ren 	投資人	c=1 d=4.99499e-11 t=7834
tou zi zhe 	投資者	c=2 d=7.6858e-11 t=7834
tu 	圖	c=2 d=0.0014624 t=7834
tu biao 	圖標	c=1 d=2.07078e-05 t=7834
tu di 	徒弟	c=1 d=1.3814e-07 t=7834
tu pian 	圖片	c=3 d=2.91095e-05 t=7834
tu ran 	突然	c=1 d=0.0266491 t=7834
tu shou zhan dou 	徒手戰鬥	c=1 d=0.183599 t=7834
tu wei 	突圍	c=1 d=1.03883e-07 t=7834
tu xian 	凸顯	c=1 d=4.63328e-09 t=7834
tu xiang 	圖像	c=1 d=0.909373 t=7834
tu xing 	圖形	c=2 d=0.000797318 t=7834
tuan yuan 	團員	c=1 d=0.190139 t=7834
tui chu 	退出	c=1 d=9.12037e-06 t=7834
tui dong 	推動	c=3 d=2.36275e-10 t=7834
tui duan 	推斷	c=2 d=0.00482034 t=7834
tui shi 	退市	c=1 d=1 t=6947
tui shou 	推手	c=1 d=1.38521e-10 t=7834
tuo 	拖	c=1 d=1.89255e-05 t=7834
tuo guan 	託管	c=2 d=1.6198 t=7834
tuo jie 	脫節	c=1 d=4.18226e-10 t=7834
tuo man 	拖慢	c=1 d=0.00729913 t=7834
tuo pan 	托盤	c=1 d=3.20756e-06 t=7834
tuo shan 	妥善	c=1 d=0.0117959 t=7834
tuo yan 	拖延	c=1 d=5.64546e-10 t=7834
tuo ying er chu 	脫穎而出	c=1 d=5.38402e-11 t=7834
tuo zhan 	拓展	c=2 d=0.00623978 t=7834
tuo zhuai 	拖拽	c=1 d=1.90204e-05 t=7834
wai 	外	c=2 d=1.97045 t=6827
wai guo yu 	外國語	c=1 d=0.00353515 t=7834
wai ren 	外人	c=1 d=0.00138785 t=7834
wan 	萬	c=1 d=1 t=6918
wan cheng 	完成	c=3 d=0.810584 t=7834
wan cheng de 	完成的	c=1 d=0.329559 t=7834
wan jie 	萬堺	c=1 d=1 t=6920
wan ju 	玩具	c=1 d=0.0916297 t=7834
wan li 	萬里	c=0 d=0.0276651 t=7834
wan mei 	完美	c=2 d=0.369853 t=7834
wan quan 	完全	c=3 d=0.717585 t=7834
wan quan yi yang 	完全一樣	c=0 d=0.1 t=6722
wan quan yi yang de 	完全一樣的	c=1 d=1 t=6723
wan quan zi you 	完全自由	c=1 d=1.37474e-09 t=7834
wan shan 	完善	c=1 d=1 t=7786
wan wei 	玩味	c=0 d=3.13646e-08 t=7834
wan yi 	萬一	c=1 d=0.020141 t=7834
wan zheng 	完整	c=1 d=0.000280202 t=7834
wang 	往	c=2 d=0.166127 t=7834
wang fei 	王菲	c=1 d=1 t=6687
wang feng 	王峯	c=0 d=0.1 t=7313
wang feng ming 	王峯明	c=1 d=1 t=7314
wang jie 	王傑	c=1 d=1 t=6508
wang luo 	網絡	c=1 d=3.19156e-06 t=7834
wang zhe 	王者	c=7 d=2.759 t=7834
wang zhe feng yun 	王者風雲	c=2 d=0.576318 t=7834
wei 	位	c=1 d=1 t=6711
wei 	尾	c=1 d=0.777057 t=7055
wei 	爲	c=19 d=0.834889 t=7834
wei bei 	未被	c=0 d=1.98478e-07 t=7834
wei bei shi yong 	未被使用	c=1 d=1.99473e-06 t=7834
wei bu xian zhi 	未卜先知	c=1 d=0.0274607 t=7834
wei chang bu ke 	未嘗不可	c=1 d=5.45035e-08 t=7834
wei chi 	維持	c=2 d=0.0273237 t=7834
wei dao 	味道	c=3 d=0.814588 t=7834
wei de 	微的	c=0 d=0.1 t=6657
wei du 	圍堵	c=1 d=1.45222e-07 t=7834
wei hai xing 	危害性	c=1 d=2.52402e-10 t=7834
wei he 	爲何	c=0 d=3.5725e-10 t=7834
wei ji 	危機	c=1 d=1.2375e-07 t=7834
wei kai 	未開	c=0 d=0.1 t=7806
wei kai qi 	未開啓	c=2 d=1.96079 t=7815
wei lai 	未來	c=5 d=0.0273237 t=7834
wei le 	爲了	c=7 d=0.0572774 t=7834
wei liu kong 	微流控	c=6 d=4.53568e-05 t=7834
wei mi 	微米	c=2 d=0.000141244 t=7834
wei ou 	圍毆	c=1 d=8.46281e-08 t=7834
wei qing 	爲情	c=3 d=1.20001 t=7834
wei ren 	爲人	c=1 d=0.0281559 t=7834
wei shen me 	爲什麼	c=3 d=0.134236 t=7834
wei ta 	爲他	c=1 d=0.0051953 t=7834
wei ti 	爲題	c=1 d=1 t=6877
wei tu 	位圖	c=1 d=1 t=6925
wei xian 	危險	c=1 d=0.0127784 t=7834
wei xin 	微信	c=2 d=0.00053089 t=7834
wei yi ti 	爲一體	c=1 d=9.09837e-07 t=7834
wei zhe xie 	爲這些	c=1 d=2.59417e-09 t=7834
wei zhi 	位置	c=2 d=0.0238732 t=7834
wei zhi 	未知	c=2 d=1.5419e-05 t=7834
wei zhi zhen 	尾指針	c=1 d=1 t=7056
wei zhuang 	僞裝	c=4 d=0.293573 t=7834
wen 	文	c=2 d=2.77539e-06 t=7834
wen ben 	文本	c=0 d=0.0423162 t=7834
wen dang 	文檔	c=2 d=1.33603e-05 t=7834
wen hua 	文化	c=3 d=0.158545 t=7834
wen jian 	文件	c=8 d=1.72117 t=7834
wen ri 	文日	c=1 d=0.000437252 t=7834
wen run 	溫潤	c=1 d=1.00068e-08 t=7834
wen ti 	問題	c=13 d=0.752498 t=7834
wen ti hen yan zhong 	問題很嚴重	c=1 d=8.25245e-06 t=7834
wen yi 	文藝	c=2 d=0.00361701 t=7834
wen yuan 	文苑	c=0 d=0.0690734 t=7834
wen yuan jun huang 	文苑君皇	c=1 d=0.694197 t=7834
wen zhang 	文章	c=5 d=4.75551e-06 t=7834
wo 	我	c=4 d=0.192172 t=7834
wo bi jiao 	我比較	c=1 d=0.172907 t=7834
wo bi xu 	我必須	c=1 d=0.148823 t=7834
wo bu neng 	我不能	c=1 d=0.128735 t=7834
wo bu zen me 	我不怎麼	c=1 d=1 t=7158
wo de 	我的	c=2 d=0.140156 t=7834
wo de xiang mu 	我的項目	c=1 d=4.11859e-06 t=7834
wo di 	臥底	c=2 d=0.66034 t=7834
wo dui 	我對	c=1 d=0.00104368 t=7834
wo ge ren 	我個人	c=2 d=2.60365e-09 t=7834
wo hai shi 	我還是	c=1 d=0.0850088 t=7834
wo he 	我和	c=1 d=0.000773179 t=7834
wo hen 	我很	c=2 d=8.01829e-08 t=7834
wo jue de 	我覺得	c=1 d=1 t=7099
wo kai shi 	我開始	c=1 d=1.84645e-09 t=7834
wo ma ne 	我媽呢	c=1 d=1 t=7223
wo men 	我們	c=16 d=0.262227 t=7834
wo men shuo 	我們說	c=1 d=4.44087e-10 t=7834
wo shi 	我是	c=2 d=1.10435 t=7515
wo shi zhi 	我是指	c=1 d=3.42356e-08 t=7834
wo wei shen me 	我爲什麼	c=2 d=6.67023e-09 t=7834
wo xiang 	我想	c=2 d=0.390628 t=7834
wo xiang xin 	我相信	c=1 d=0.0997588 t=7834
wo ye 	我也	c=3 d=0.0434282 t=7834
wo ye zhi shi 	我也只是	c=1 d=1 t=6957
wo yi kai shi 	我一開始	c=1 d=1 t=7436
wo yi zhi 	我一直	c=1 d=0.0672055 t=7834
wo yong 	我用	c=1 d=9.37706e-09 t=7834
wo zai 	我在	c=1 d=5.22401e-09 t=7834
wo zhi qian 	我之前	c=1 d=2.63337e-09 t=7834
wu 	五	c=0 d=8.46281e-09 t=7834
wu 	武	c=1 d=0.00115923 t=7834
wu 	無	c=2 d=0.0309618 t=7834
wu 	舞	c=2 d=0.0978108 t=7834
wu bai 	伍佰	c=5 d=1.01313 t=7739
wu bi 	無幣	c=1 d=9.52039e-11 t=7834
wu dao 	誤導	c=1 d=0.0323869 t=7834
wu di 	無敵	c=0 d=0.0697676 t=7834
wu di zi rong 	無地自容	c=1 d=1 t=7383
wu fa 	無法	c=3 d=0.0851335 t=7834
wu hui 	無悔	c=1 d=0.000432902 t=7834
wu ji zhi tan 	無稽之談	c=1 d=1.41319e-10 t=7834
